,Species,Variety,Country_of_Origin,Mill,ICO_number,Company,Region,Producer,Number_of_Bags,Bag_Weight,Harvest_Year,Grading_Date,Owner_1,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Quakers,Color,Category_One_Defects,Category_Two_Defects,Expiration,Certification_Body,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Altitude
10,Arabica,Other_2,Ethiopia,,,fahem coffee plantation,oromia,Fahem Coffee Plantation,300,60 kg,2014,"March 27th, 2015",Mohammed Lalo,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,0.0,,0,1,"March 26th, 2016",METAD Agricultural Development plc,m,1855.0,1955.0,1905.0,1855-1955
11,Arabica,Other,United States,,unknown,coffee quality institute,antioquia,Alfredo De Jesús López Pérez,10,1 kg,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,0.0,0.0,,0,0,"March 12th, 2016",Almacafé,m,1872.0,1872.0,1872.0,meters above sea level: 1.872
12,Arabica,Other,United States,,unknown,coffee quality institute,antioquia,Jorge Walter Restrepo,10,1 kg,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92,0.0,0.0,,0,0,"March 12th, 2016",Almacafé,m,1943.0,1943.0,1943.0,meters above sea level: 1.943
13,Arabica,Other_2,United States (Hawaii),,,,kona,"Robert, Sharon, Arianna Wood",1,1,Sept 2009 - April 2010,"May 31st, 2010",Grounds for Health Admin,,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92,0.0,0.0,,0,2,"May 31st, 2011",Specialty Coffee Association,ft,609.6,609.6,609.6,2000 ft
14,Arabica,Other_2,Ethiopia,c.p.w.e,010/0338,,oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,March 2010,"August 31st, 2010",Ethiopia Commodity Exchange,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,0.0,,0,2,"August 31st, 2011",Ethiopia Commodity Exchange,m,1570.0,1700.0,1635.0,1570-1700
15,Arabica,Other,United States,,unknown,coffee quality institute,antioquia,María Leticia Diosa,10,1 kg,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58,0.0,0.0,,0,0,"March 12th, 2016",Almacafé,m,2080.0,2080.0,2080.0,meters above sea level: 2.080
16,Arabica,Other_2,Indonesia,,,,sulawesi,P.T. Toarco Jaya,1,"2 kg,lbs",May-August,"May 31st, 2010",Grounds for Health Admin,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.03,0.0,,0,0,"May 31st, 2011",Specialty Coffee Association,m,1200.0,1800.0,1500.0,1200-1800m
17,Arabica,Other_2,Ethiopia,,010/0056,,yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,150,6,2009/2010,"June 16th, 2010",Ethiopia Commodity Exchange,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33,0.05,0.0,,0,2,"June 16th, 2011",Ethiopia Commodity Exchange,m,1095.0,1200.0,1100.0,
18,Arabica,Catimor,China,echo coffee mill,,yunnan coffee exchange,yunnan,Echo Coffee,3,60 kg,2015,"April 7th, 2016",Yunnan Coffee Exchange,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,0.0,Green,0,0,"April 7th, 2017",Yunnan Coffee Exchange,m,1450.0,1450.0,1450.0,1450
19,Arabica,Ethiopian Yirgacheffe,Ethiopia,drima zede,100181006,essence coffee,gedio,LevelUp,250,60 kg,2014,"March 25th, 2015",EssenceCoffee,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,0.0,0.0,,0,8,"March 24th, 2016",Blossom Valley International,m,1700.0,2000.0,1850.0,1700-2000m
20,Arabica,Other,United States,,unknown,coffee quality institute,antioquia,Nicolás Rueda Urrego,10,1 kg,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,0.0,0.0,None,0,0,"March 12th, 2016",Almacafé,m,2019.0,2019.0,2019.0,meters above sea level: 2.019
21,Arabica,Caturra,Costa Rica,cafe altura de san ramon,5-562-0015,the coffee source inc.,san ramon,SEVERAL,250,3 lbs,2014,"April 2nd, 2014",The Coffee Source Inc.,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0.0,Green,0,2,"April 2nd, 2015",Specialty Coffee Association,m,1300.0,1300.0,1300.0,1300 msnm
22,Arabica,Other,Mexico,la herradura,0,,xalapa,ROBERTO LICONA FRANCO,14,1 kg,2012,"July 26th, 2012",ROBERTO LICONA FRANCO,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0.0,Green,0,0,"July 26th, 2013",AMECAFE,m,1320.0,1320.0,1320.0,1320
23,Arabica,Other,United States,,unknown,coffee quality institute,antioquia,Silvia Elena Higuita,10,1 kg,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08,0.0,0.0,,0,0,"March 12th, 2016",Almacafé,m,2112.0,2112.0,2112.0,meters above sea level: 2.112
24,Arabica,Other_2,Ethiopia,,,,sidamo,,100,60 kg,2013,"September 3rd, 2013",Ji-Ae Ahn,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,0.0,Bluish-Green,0,1,"September 3rd, 2014",Specialty Coffee Institute of Asia,m,1095.0,1200.0,1100.0,
25,Arabica,Bourbon,Brazil,,002/1251/0073,nucoffee,south of minas,Ralph Junqueira,3,60 kg,2011,"December 3rd, 2011",NUCOFFEE,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0.0,Green,0,2,"December 2nd, 2012",NUCOFFEE,m,1250.0,1250.0,1250.0,1250m
26,Arabica,Other_2,Ethiopia,,010/0056/Sidamo,,sidamo,Green Gold Ethiopia | Phone: 0114342032,150,6,2009/2010,"June 16th, 2010",Ethiopia Commodity Exchange,,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92,0.05,0.0,,0,2,"June 16th, 2011",Ethiopia Commodity Exchange,m,1095.0,1200.0,1100.0,
27,Arabica,SL14,Uganda,kabum trading company,0,kabum trading company,kapchorwa eastern,Kabum trading company,100,60 kg,2013,"June 26th, 2014",Kabum Trading company,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,0.0,Green,0,1,"June 26th, 2015",Uganda Coffee Development Authority,m,1950.0,1950.0,1950.0,1950
28,Arabica,Caturra,Honduras,cigrah s.a de c.v.,13-111-053,cigrah s.a de c.v,comayagua,Reinerio Zepeda,275,69 kg,2016,"May 18th, 2017",Bismarck Castro,,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,86.67,0.1,0.0,Green,0,3,"May 18th, 2018",Instituto Hondureño del Café,m,1400.0,1400.0,1400.0,1400
29,Arabica,Sumatra,Taiwan,tsoustructive garden 鄒築園,Taiwan,taiwan coffee laboratory,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",20,50 kg,2015,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0.0,0.0,Green,0,0,"May 18th, 2017",Specialty Coffee Association,m,1200.0,1200.0,1200.0,1200
30,Arabica,Other_2,Nicaragua,beneficio atlantic condega,790-0013,,,,275,6,,"May 18th, 2010",Nora Zeas,,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,86.58,0.08,0.0,,0,2,"May 18th, 2011",Specialty Coffee Association,m,1095.0,1200.0,1100.0,
31,Arabica,Other_2,"Tanzania, United Republic Of",,A019116,,,,100,60 kg,2012,"September 3rd, 2013",Specialty Coffee-Korea,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0.11,0.0,Bluish-Green,0,1,"September 3rd, 2014",Specialty Coffee Institute of Asia,m,1095.0,1200.0,1100.0,
32,Arabica,Bourbon,Brazil,,002/1251/0068,nucoffee,vale da grama,Homero Texeira de Macedo Junior,29,60 kg,2011,"December 3rd, 2011",NUCOFFEE,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,0.0,Green,0,2,"December 2nd, 2012",NUCOFFEE,m,1300.0,1300.0,1300.0,1300
33,Arabica,Caturra,Costa Rica,"exclusive coffees s.a,",5818009,exclusive coffees s.a.,west and central valley,Exclusive Coffees S.A.,250,2 lbs,2015/2016,"December 3rd, 2015",Francisco A Mena,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0.0,0.0,Blue-Green,0,0,"December 2nd, 2016",Specialty Coffee Association of Costa Rica,m,1300.0,1300.0,1300.0,1300
34,Arabica,Other_2,Ethiopia,faysal abamecha processing plant at yebu town,2014/15,haider abamecha coffee export,oromia,Haider Abamecha Abadiko,320,60 kg,2014,"March 27th, 2015",Hider Abamecha,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,0.0,Green,0,3,"March 26th, 2016",METAD Agricultural Development plc,m,1750.0,1800.0,1775.0,1750-1800
35,Arabica,SL34,Kenya,central kenya coffee mills,0,c dorman ltd,muranga,Kangunu,320,1 kg,2013,"May 30th, 2014",Daniel Magu,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,0.0,Blue-Green,0,1,"May 30th, 2015",Kenya Coffee Traders Association,m,1800.0,1800.0,1800.0,1800
36,Arabica,Hawaiian Kona,United States (Hawaii),,220452,kona pacific farmers cooperative,kona,,10,100 lbs,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,0.0,0.0,,1,4,"April 6th, 2013",Specialty Coffee Association,ft,1095.0,1200.0,1100.0,
37,Arabica,Other_2,United States (Hawaii),,HDOA 210128 Kona Fancy,,kona,Kona Pacific Farmers Co-Op,25,100 lbs,2010,"January 28th, 2011",Kona Pacific Farmers Cooperative,,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,86.25,0.0,0.0,,2,1,"January 28th, 2012",Specialty Coffee Association,ft,1095.0,1200.0,1100.0,
38,Arabica,Other_2,Ethiopia,,010/0170,,yirgacheffe,Contact name | ATO Teshome Belamo,300,6,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25,0.1,0.0,,0,2,"June 17th, 2011",Ethiopia Commodity Exchange,m,1095.0,1200.0,1100.0,
39,Arabica,Other,United States,,unknown,coffee quality institute,antioquia,Hugo Sepúlveda Montoya,10,1 kg,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,86.17,0.0,0.0,,0,0,"March 12th, 2016",Almacafé,m,1941.0,1941.0,1941.0,meters above sea level: 1.941
40,Arabica,Caturra,Thailand,,01-011-512,lanna cafe,chiang rai,ITDP,53,1 kg,2012,"April 12th, 2012",ITDP International,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,0.0,Green,1,9,"April 12th, 2013",Specialty Coffee Association,m,1300.0,1300.0,1300.0,1300
41,Arabica,Yellow Bourbon,Brazil,cocarive,002/1352/0045,,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60 kg,2010,"January 4th, 2011",Jacques Pereira Carneiro,,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17,0.08,0.0,,0,2,"January 4th, 2012",Specialty Coffee Association,m,1095.0,1200.0,1100.0,1.2
42,Arabica,Yellow Bourbon,Brazil,cocarive,002/1352/0045,,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60 kg,2010,"January 4th, 2011",Jacques Pereira Carneiro,,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17,0.01,0.0,,0,3,"January 4th, 2012",Specialty Coffee Association,m,1095.0,1200.0,1100.0,1.2
43,Arabica,Bourbon,Taiwan,sunshine valley estate 向陽高山咖啡,Taiwan,taiwan coffee laboratory,natou county,LIN YEN CHIEN 林言謙,10,15 kg,2015,"June 10th, 2015","Lin, Che-Hao Krude 林哲豪",Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,0.0,Green,0,0,"June 9th, 2016",Specialty Coffee Association,m,1000.0,1000.0,1000.0,1000 m
44,Arabica,SL28,Kenya,nkg coffee mills,NIL,keremara limited,nyeri,JUNGLE ESTATE,12,60 kg,2014,"January 29th, 2015",Jungle Estate,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0.11,0.0,Bluish-Green,0,2,"January 29th, 2016",Kenya Coffee Traders Association,m,1754.0,1754.0,1754.0,1754
45,Arabica,Bourbon,Brazil,,002/1251/0071,nucoffee,south of minas,Ralph Junqueira,7,60 kg,2011,"December 3rd, 2011",NUCOFFEE,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,0.0,Blue-Green,0,2,"December 2nd, 2012",NUCOFFEE,m,1250.0,1250.0,1250.0,1250m
46,Arabica,Other_2,Uganda,great lakes coffee,0,ucda,eastern uganda,Kaasay Farmer Group,1,60 kg,2014,"October 1st, 2014",Great Lakes Coffee Uganda,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,86.0,0.0,0.0,,0,0,"October 1st, 2015",Uganda Coffee Development Authority,m,1095.0,1200.0,1100.0,
47,Arabica,Caturra,Colombia,,NONE,lusso coffee lab,tolima,,1,2 kg,2013,"March 20th, 2014",LUSSO LAB,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,0.12,0.0,Green,1,1,"March 20th, 2015",Specialty Coffee Association,m,900.0,1500.0,1200.0,900-1500m
48,Arabica,SL28,Kenya,,NONE,lusso coffee lab,kiambu,,1,1 kg,2013,"February 6th, 2014",LUSSO LAB,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0.11,0.0,Green,0,1,"February 6th, 2015",Specialty Coffee Association,m,1520.0,2200.0,1860.0,1520m-2200m
49,Arabica,Other,Uganda,,x,kawacom uganda ltd,"sipi, mt elgon",Kawacom,1,60 kg,2012,"February 13th, 2012",AFCA,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,0.1,0.0,Blue-Green,0,0,"February 12th, 2013",Africa Fine Coffee Association,m,1400.0,1900.0,1650.0,1400-1900m
50,Arabica,Other_2,Ethiopia,coffee processing and warehouse enterpri,010/0145,,sidamo,Sidama Coffee Farmers Coop. Union,300,6,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86.0,0.01,0.0,,0,4,"June 17th, 2011",Ethiopia Commodity Exchange,m,1500.0,2000.0,1750.0,1500-2000 m
51,Arabica,Other_2,United States (Hawaii),,,,kona,Hula Daddy Kona Coffee,1,2,Fall 2009,"May 31st, 2010",Grounds for Health Admin,,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,86.0,0.0,0.0,,0,0,"May 31st, 2011",Specialty Coffee Association,ft,426.72,426.72,426.72,1400ft
52,Arabica,Bourbon,Guatemala,beneficio ixchel,11/23/0252,"unex guatemala, s.a.",nuevo oriente,MARGARITA AVILA DE NUYENS,80,69 kg,2016,"May 16th, 2016",Juan Luis Alvarado Romero,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,0.1,1.0,Green,0,3,"May 16th, 2017",Asociacion Nacional Del Café,m,1095.0,1200.0,1100.0,
53,Arabica,SL14,Uganda,kawacom,0,kawacom uganda ltd,eastern,Kawacom (U)Ltd,1,60 kg,2013,"June 30th, 2014",Kawacom Uganda LTD,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,0.12,0.0,Green,0,0,"June 30th, 2015",Uganda Coffee Development Authority,m,1400.0,1900.0,1650.0,1400-1900
54,Arabica,Caturra,Colombia,trilladora boananza,3-68-0215,exportadora de cafe condor s.a,huila,,275,70 kg,2013,"July 26th, 2013",Exportadora de Cafe Condor S.A,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,0.0,0.0,Blue-Green,1,0,"July 26th, 2014",Almacafé,m,1800.0,1800.0,1800.0,1800 msnm
55,Arabica,Gesha,Panama,beneficio casa ruiz s.a.,,ce specialty s.a.,boquete,Plinio Ruiz,37,60 kg,2017,"October 9th, 2017",Gonzalo Hernandez,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.08,1.0,Bluish-Green,0,0,"October 9th, 2018",Specialty Coffee Association of Costa Rica,m,1600.0,1600.0,1600.0,1600
56,Arabica,Other_2,Ethiopia,burka gudina,2014/2015,ibrahim hussien specality coffee product & exporter,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,320,60 kg,2014,"April 4th, 2015",Ibrahim Hussien Speciality Coffee Producer &Export,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,0.1,0.0,Green,0,4,"April 3rd, 2016",METAD Agricultural Development plc,m,1800.0,2000.0,1900.0,1800-2000
57,Arabica,Bourbon,Guatemala,beneficio valparaiso,11/1886/03,sertrasa,acatenango,SERTRASA,150,1 kg,2012,"July 3rd, 2012",Juan Luis Alvarado Romero,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.12,0.0,Green,0,3,"July 3rd, 2013",Asociacion Nacional Del Café,ft,1524.0,1524.0,1524.0,5000
58,Arabica,Catuai,Guatemala,beneficio serben,11-853-155,unicafe,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1 kg,2012,"June 5th, 2012",Juan Luis Alvarado Romero,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,0.1,0.0,Bluish-Green,0,1,"June 5th, 2013",Asociacion Nacional Del Café,ft,1417.32,1417.32,1417.32,4650
59,Arabica,Caturra,Ethiopia,seid damtew coffee export and plantation,490,seid damtew coffee planation,addis ababa,seid damtew coffee export and plantation,320,19200 kg,2017,"June 23rd, 2017",SEID DAMTEW COFFEE PLANATAION,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75,0.09,4.0,None,0,7,"June 23rd, 2018",METAD Agricultural Development plc,m,1095.0,1200.0,1100.0,
60,Arabica,Other_2,Peru,,030-0537-2066,sustainable harvest,cajamarca,,280,5 lbs,2013,"January 22nd, 2014",Dane Loraas,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,0.1,0.0,Green,4,6,"January 22nd, 2015",Specialty Coffee Association,m,1095.0,1200.0,1100.0,
61,Arabica,Other_2,Papua New Guinea,baroida,25072012,cqi,eastern highlands province,"Colbran CoffeeLands, Ltd.",7,60 kg,2012,"October 25th, 2012","Colbran Coffeelands, Ltd.",Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0.12,0.0,Bluish-Green,0,1,"October 25th, 2013",Specialty Coffee Association,m,1700.0,1700.0,1700.0,1700 mts
62,Arabica,Bourbon,El Salvador,j. hill y cia,09 – 060-24,atlantic specialty coffee,apaneca,Aida Batlle,275,2 kg,2013,"March 18th, 2013",Atlantic Specialty Coffee,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,0.1,0.0,Blue-Green,0,3,"March 18th, 2014",Specialty Coffee Association,m,1500.0,1500.0,1500.0,1500 meters
63,Arabica,Bourbon,El Salvador,"aqua caliente, j.j. borja nathan. s.a",,lusso coffee lab,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,19,1 kg,2012,"January 12th, 2013",LUSSO LAB,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,0.0,None,0,0,"January 12th, 2014",Specialty Coffee Association,m,1300.0,1400.0,1350.0,1300~1400 m.s.l
64,Arabica,Hawaiian Kona,United States (Hawaii),,220451,kona pacific farmers cooperative,kona,,8,100 lbs,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58,0.0,0.0,,0,1,"April 6th, 2013",Specialty Coffee Association,ft,1095.0,1200.0,1100.0,
65,Arabica,Caturra,Panama,elida estate,290503,essence coffee,boquete,Lamastus,100,60 kg,2014,"May 23rd, 2015",EssenceCoffee,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,0.09,0.0,,2,2,"May 22nd, 2016",Blossom Valley International,m,1680.0,1680.0,1680.0,1680
66,Arabica,SL28,Kenya,inoi,3707361715,essence coffee,kirinyaga,,16,60 kg,2014,"May 23rd, 2015",EssenceCoffee,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,0.1,0.0,Green,0,3,"May 22nd, 2016",Blossom Valley International,m,1900.0,1900.0,1900.0,1900m
67,Arabica,Other,Ethiopia,,2015,assefa belay coffee producer,oromia,Assefa Belay Coffee Producer,320,60 kg,2015,"March 31st, 2015",Assefa Belay Coffee Producer,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,0.12,0.0,Green,0,7,"March 30th, 2016",METAD Agricultural Development plc,m,1800.0,2000.0,1900.0,1800-2000
68,Arabica,SL14,Uganda,kyagalanyi coffee ltd,0,kyagalanyi coffee ltd,bulambuli eastern region,Kyagalanyi coffee Ltd,320,60 kg,2013,"June 26th, 2014",Kyagalanyi Ltd,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0.12,0.0,Green,0,1,"June 26th, 2015",Uganda Coffee Development Authority,m,1600.0,1600.0,1600.0,1600
